model_id,ability_anchor,before_ability_parameter,after_ability_parameter,curve_profile,before_temperature,after_temperature,curve_floor,curve_ceiling,adjustment_low,adjustment_mid,adjustment_mid_high,adjustment_high,before_sufficient_low,before_sufficient_mid,before_sufficient_mid_high,before_sufficient_high,after_sufficient_low,after_sufficient_mid,after_sufficient_mid_high,after_sufficient_high,weighted_fit_error,profile_confidence
gpt-5.5,0.782,0.6000445560690806,0.6029079429640571,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.967949725529058,0.8375332853989281,0.4115074324393831,0.1148924189777394,0.9576135050672705,0.8203037450925588,0.44211951275274175,0.15424474522369108,-2.220446049250313e-16,low
gpt-5.4-mini,0.6559999999999999,0.3754276799686855,0.3171541263252635,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.8627482535246016,0.4610263644717843,0.1184285739606725,0.0441165800013268,0.8940232055766547,0.3280324412529797,0.0,0.0,-1.1102230246251565e-16,low
claude-opus-4-8,0.838,0.7405368154801621,0.7501751478287932,frontier_resilient,0.12,0.16,0.03,0.99,-0.01,-0.005,0.02,0.055,0.9830514792769128,0.936897568725218,0.6829465554428616,0.2587382370620185,0.9579653043641058,0.8882517982256185,0.6755392782363226,0.3802874657033109,-1.1102230246251565e-16,medium
claude-sonnet-5,0.778,0.5902419125429264,0.5939799550182703,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.966119539390984,0.826762340786717,0.3928939569621095,0.1087798137628958,0.9554788935293893,0.810653469424331,0.4268137104879507,0.14800385552960366,0.0,low
gemini-3.5-flash,0.7859999999999999,0.6099577631117494,0.6119493615513734,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.969661048029152,0.8478320661619502,0.4306504341229589,0.1215063443167558,0.9596451639759386,0.8296716167103004,0.457798722587925,0.16089826104547839,1.1102230246251565e-16,low
deepseek-v4-flash,0.6719999999999999,0.395431465104481,0.33339868413138773,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.8800492946367835,0.5008640336627619,0.132752411327875,0.0466329279594052,0.913373885856422,0.3633127845955678,0.0,0.0,0.0,high
deepseek-v4-pro,0.732,0.4898299253001487,0.5014247741357529,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.936601283501504,0.6817150085462865,0.2300396565668722,0.0657849527400999,0.9238212548309142,0.687282296609387,0.2846500810610676,0.09981058270426857,-1.1102230246251565e-16,high
glm-5.1,0.75,0.5260528779602989,0.535266097743285,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.9499340057215506,0.7412251267540898,0.282022734300432,0.0777670483433927,0.9376953212576794,0.7371881050531351,0.332479557090131,0.11429860495734119,0.0,low
kimi-k2.6,0.746,0.5176439518588729,0.5186889477479781,coding_specialist,0.12,0.125,0.03,0.99,0.0,0.025,0.05,-0.01,0.9471554937915162,0.7280936499597717,0.2692169934411507,0.0746848576560176,0.9422307833909942,0.7471762649029163,0.328766069295487,0.07052073190673756,1.1102230246251565e-16,low
qwen3.5-flash,0.62,0.3357110210925474,0.2853970289929326,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.8215830210062496,0.3844116239029469,0.0952040071933929,0.0401810676013817,0.8489110087209144,0.26613411276273974,0.0,0.0,-1.1102230246251565e-16,low
qwen3.6-plus,0.742,0.5094407048215279,0.5198384471543831,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.9442685981340386,0.7148740330388823,0.2571505185529331,0.0718610025184872,0.9317473093401957,0.7150771466318007,0.3100042914659642,0.10730064995059502,-1.1102230246251565e-16,low
qwen3.7-max,0.762,0.5524840411863314,0.5522710614607833,coding_specialist,0.12,0.125,0.03,0.99,0.0,0.025,0.05,-0.01,0.9575872086698268,0.7796281070882295,0.3250365172314705,0.0888157720157478,0.9530518024563952,0.7958714342947167,0.3813682768545961,0.08503666832585827,-1.1102230246251565e-16,low
minimax-m3,0.764,0.5570571678943699,0.5637420461488398,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.9587597590467984,0.7858213563704296,0.3328813189524635,0.0909553958418731,0.947198709803343,0.7749798877375116,0.37666505081260704,0.1291455789173707,-2.220446049250313e-16,low
gpt-5.6-sol,0.8420000000000001,0.6000445560690806,0.759664839738035,frontier_resilient,0.12,0.16,0.03,0.99,-0.01,-0.005,0.02,0.055,0.967949725529058,0.8375332853989281,0.4115074324393831,0.1148924189777394,0.959206709866638,0.8932909051908762,0.6883462622036792,0.3925504348945394,-1.1102230246251565e-16,medium
gpt-5.6-terra,0.812,0.6000445560690806,0.6727914978033782,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.967949725529058,0.8375332853989281,0.4115074324393831,0.1148924189777394,0.9704336455672251,0.8826330300081707,0.5654222536725201,0.21518988184542204,-1.1102230246251565e-16,medium
gpt-5.6-luna,0.792,0.6000445560690806,0.6330257052523451,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.967949725529058,0.8375332853989281,0.4115074324393831,0.1148924189777394,1.0,0.9289424844844617,0.402231294647791,0.01138960308365651,0.0,low
glm-5.2,0.775,0.5260528779602989,0.5873636486848062,balanced_frontier,0.12,0.135,0.03,0.99,0.0,0.005,0.015,0.015,0.9499340057215506,0.7412251267540898,0.282022734300432,0.0777670483433927,0.9538102488561416,0.8032432662800806,0.41560199859398517,0.14358328292734096,-2.220446049250313e-16,medium
kimi-k2.7-code,0.776,0.5176439518588729,0.5839101949915135,coding_specialist,0.12,0.125,0.03,0.99,0.0,0.025,0.05,-0.01,0.9471554937915162,0.7280936499597717,0.2692169934411507,0.0746848576560176,0.9610651235526767,0.8357220147344683,0.43598320746351266,0.10216581054680302,0.0,medium
gemini-2.5-flash,0.6859999999999999,0.6099577631117494,0.3488493546512945,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.969661048029152,0.8478320661619502,0.4306504341229589,0.1215063443167558,0.9296262890788107,0.3988112458887811,0.0036977465223457795,0.0,0.0,low
meta-llama/llama-4-maverick,0.6709999999999999,0.6099577631117494,0.33233528857103356,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.969661048029152,0.8478320661619502,0.4306504341229589,0.1215063443167558,0.9121799566038431,0.36093564354761387,0.0,0.0,0.0,low
deepseek/deepseek-chat-v3-0324,0.6019999999999999,0.395431465104481,0.27136198580110293,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.8800492946367835,0.5008640336627619,0.132752411327875,0.0466329279594052,0.8257420780589249,0.2419952938290411,0.0,0.0,-1.1102230246251565e-16,low
meta-llama/llama-3.3-70b-instruct,0.6209999999999999,0.6099577631117494,0.2862077219365291,efficient_fast,0.12,0.095,0.025,0.985,0.05,0.02,-0.06,-0.08,0.969661048029152,0.8478320661619502,0.4306504341229589,0.1215063443167558,0.8501878516101128,0.2675898425908389,0.0,0.0,-2.220446049250313e-16,low
qwen/qwen3-235b-a22b,0.65,0.3357110210925474,0.3715726164998827,coding_specialist,0.12,0.125,0.03,0.99,0.0,0.025,0.05,-0.01,0.8215830210062496,0.3844116239029469,0.0952040071933929,0.0401810676013817,0.8505872079437978,0.48065345307022056,0.1734225220822092,0.03615997679024336,0.0,low
