analysis_subset,target_tier,target_tier_id,difficulty,target_record_count,target_record_share,capability_tier,curve_kind,predicted_sufficiency,is_router_result
full_sensitivity,low,0,0.0,689,0.7103092783505155,low,oracle_label_curve,1.0,False
full_sensitivity,low,0,0.0,689,0.7103092783505155,mid,oracle_label_curve,1.0,False
full_sensitivity,low,0,0.0,689,0.7103092783505155,mid_high,oracle_label_curve,1.0,False
full_sensitivity,low,0,0.0,689,0.7103092783505155,high,oracle_label_curve,1.0,False
full_sensitivity,mid,1,0.3333333333333333,62,0.06391752577319587,low,oracle_label_curve,0.0,False
full_sensitivity,mid,1,0.3333333333333333,62,0.06391752577319587,mid,oracle_label_curve,1.0,False
full_sensitivity,mid,1,0.3333333333333333,62,0.06391752577319587,mid_high,oracle_label_curve,1.0,False
full_sensitivity,mid,1,0.3333333333333333,62,0.06391752577319587,high,oracle_label_curve,1.0,False
full_sensitivity,mid_high,2,0.6666666666666666,49,0.050515463917525774,low,oracle_label_curve,0.0,False
full_sensitivity,mid_high,2,0.6666666666666666,49,0.050515463917525774,mid,oracle_label_curve,0.0,False
full_sensitivity,mid_high,2,0.6666666666666666,49,0.050515463917525774,mid_high,oracle_label_curve,1.0,False
full_sensitivity,mid_high,2,0.6666666666666666,49,0.050515463917525774,high,oracle_label_curve,1.0,False
full_sensitivity,high,3,1.0,170,0.17525773195876287,low,oracle_label_curve,0.0,False
full_sensitivity,high,3,1.0,170,0.17525773195876287,mid,oracle_label_curve,0.0,False
full_sensitivity,high,3,1.0,170,0.17525773195876287,mid_high,oracle_label_curve,0.0,False
full_sensitivity,high,3,1.0,170,0.17525773195876287,high,oracle_label_curve,1.0,False
strong_label_main,low,0,0.0,595,0.9384858044164038,low,oracle_label_curve,1.0,False
strong_label_main,low,0,0.0,595,0.9384858044164038,mid,oracle_label_curve,1.0,False
strong_label_main,low,0,0.0,595,0.9384858044164038,mid_high,oracle_label_curve,1.0,False
strong_label_main,low,0,0.0,595,0.9384858044164038,high,oracle_label_curve,1.0,False
strong_label_main,mid,1,0.3333333333333333,29,0.04574132492113565,low,oracle_label_curve,0.0,False
strong_label_main,mid,1,0.3333333333333333,29,0.04574132492113565,mid,oracle_label_curve,1.0,False
strong_label_main,mid,1,0.3333333333333333,29,0.04574132492113565,mid_high,oracle_label_curve,1.0,False
strong_label_main,mid,1,0.3333333333333333,29,0.04574132492113565,high,oracle_label_curve,1.0,False
strong_label_main,mid_high,2,0.6666666666666666,8,0.012618296529968454,low,oracle_label_curve,0.0,False
strong_label_main,mid_high,2,0.6666666666666666,8,0.012618296529968454,mid,oracle_label_curve,0.0,False
strong_label_main,mid_high,2,0.6666666666666666,8,0.012618296529968454,mid_high,oracle_label_curve,1.0,False
strong_label_main,mid_high,2,0.6666666666666666,8,0.012618296529968454,high,oracle_label_curve,1.0,False
strong_label_main,high,3,1.0,2,0.0031545741324921135,low,oracle_label_curve,0.0,False
strong_label_main,high,3,1.0,2,0.0031545741324921135,mid,oracle_label_curve,0.0,False
strong_label_main,high,3,1.0,2,0.0031545741324921135,mid_high,oracle_label_curve,0.0,False
strong_label_main,high,3,1.0,2,0.0031545741324921135,high,oracle_label_curve,1.0,False
