quality_threshold,policy,policy_kind,row_count,trajectory_count,rowpass,rowexact,trajpass,costsave,combined,mean_final_quality_with_synthetic_validator,total_direct_cost,total_expected_cost,mean_expected_cost,always_high_total_cost,cost_index_vs_always_high,validator_detection_rate,validator_assumption_type,oracle_only,is_efficient_frontier
0.8,always-low,fixed_tier,970,520,0.7103092783505155,0.7103092783505155,0.8538461538461538,0.5369991357338407,0.7028659615702564,0.7614432989690721,0.34500590000000003,6.51194455,0.0067133448969072165,14.0646488,0.4630008642661593,0.8,synthetic_assumption,True,False
0.8,always-mid,fixed_tier,970,520,0.7742268041237114,0.06391752577319587,0.9076923076923077,0.48862852871235574,0.5586162915753927,0.814639175257732,1.30549065,7.19226015,0.0074147011855670115,14.0646488,0.5113714712876443,0.8,synthetic_assumption,True,False
0.8,always-mid_high,fixed_tier,970,520,0.8247422680412371,0.050515463917525774,0.9211538461538461,0.1776516381980331,0.4935158040776605,0.9649484536082474,4.4895849,11.5660409,0.01192375350515464,14.0646488,0.8223483618019669,0.8,synthetic_assumption,True,False
0.8,always-high,fixed_tier,970,520,1.0,0.17525773195876287,1.0,0.0,0.5438144329896908,1.0,14.0646488,14.0646488,0.01449963793814433,14.0646488,1.0,0.8,synthetic_assumption,True,False
0.8,oracle-tier,oracle,970,520,1.0,1.0,1.0,0.6984417485063688,0.9246104371265922,1.0,4.2413109,4.2413109,0.004372485463917526,14.0646488,0.3015582514936313,0.8,synthetic_assumption,True,True
0.8,session-sticky-oracle,oracle,970,520,1.0,0.8783505154639175,1.0,0.5337807830651271,0.8530328246322612,1.0,6.5572095500000005,6.5572095500000005,0.006760009845360825,14.0646488,0.46621921693487295,0.8,synthetic_assumption,True,False
0.9,always-low,fixed_tier,970,520,0.7103092783505155,0.7103092783505155,0.8538461538461538,0.5369991357338407,0.7028659615702564,0.7614432989690721,0.34500590000000003,6.51194455,0.0067133448969072165,14.0646488,0.4630008642661593,0.8,synthetic_assumption,True,False
0.9,always-mid,fixed_tier,970,520,0.7742268041237114,0.06391752577319587,0.9076923076923077,0.48862852871235574,0.5586162915753927,0.814639175257732,1.30549065,7.19226015,0.0074147011855670115,14.0646488,0.5113714712876443,0.8,synthetic_assumption,True,False
0.9,always-mid_high,fixed_tier,970,520,0.8247422680412371,0.050515463917525774,0.9211538461538461,0.1776516381980331,0.4935158040776605,0.9649484536082474,4.4895849,11.5660409,0.01192375350515464,14.0646488,0.8223483618019669,0.8,synthetic_assumption,True,False
0.9,always-high,fixed_tier,970,520,1.0,0.17525773195876287,1.0,0.0,0.5438144329896908,1.0,14.0646488,14.0646488,0.01449963793814433,14.0646488,1.0,0.8,synthetic_assumption,True,False
0.9,oracle-tier,oracle,970,520,1.0,1.0,1.0,0.6984417485063688,0.9246104371265922,1.0,4.2413109,4.2413109,0.004372485463917526,14.0646488,0.3015582514936313,0.8,synthetic_assumption,True,True
0.9,session-sticky-oracle,oracle,970,520,1.0,0.8783505154639175,1.0,0.5337807830651271,0.8530328246322612,1.0,6.5572095500000005,6.5572095500000005,0.006760009845360825,14.0646488,0.46621921693487295,0.8,synthetic_assumption,True,False
0.95,always-low,fixed_tier,970,520,0.7103092783505155,0.7103092783505155,0.8538461538461538,0.5369991357338407,0.7028659615702564,0.7614432989690721,0.34500590000000003,6.51194455,0.0067133448969072165,14.0646488,0.4630008642661593,0.8,synthetic_assumption,True,False
0.95,always-mid,fixed_tier,970,520,0.7742268041237114,0.06391752577319587,0.9076923076923077,0.48862852871235574,0.5586162915753927,0.814639175257732,1.30549065,7.19226015,0.0074147011855670115,14.0646488,0.5113714712876443,0.8,synthetic_assumption,True,False
0.95,always-mid_high,fixed_tier,970,520,0.8247422680412371,0.050515463917525774,0.9211538461538461,0.1776516381980331,0.4935158040776605,0.9649484536082474,4.4895849,11.5660409,0.01192375350515464,14.0646488,0.8223483618019669,0.8,synthetic_assumption,True,False
0.95,always-high,fixed_tier,970,520,1.0,0.17525773195876287,1.0,0.0,0.5438144329896908,1.0,14.0646488,14.0646488,0.01449963793814433,14.0646488,1.0,0.8,synthetic_assumption,True,False
0.95,oracle-tier,oracle,970,520,1.0,1.0,1.0,0.6984417485063688,0.9246104371265922,1.0,4.2413109,4.2413109,0.004372485463917526,14.0646488,0.3015582514936313,0.8,synthetic_assumption,True,True
0.95,session-sticky-oracle,oracle,970,520,1.0,0.8783505154639175,1.0,0.5337807830651271,0.8530328246322612,1.0,6.5572095500000005,6.5572095500000005,0.006760009845360825,14.0646488,0.46621921693487295,0.8,synthetic_assumption,True,False
