scope,language_model,null_record_count,primary_spearman,sensitivity_spearman,spearman_delta,primary_monotonic_count,sensitivity_monotonic_count,primary_median_drop_pp,sensitivity_median_drop_pp,primary_conclusion,sensitivity_conclusion,conclusion_changed,primary_easy_success_rate,sensitivity_easy_success_rate,primary_medium_success_rate,sensitivity_medium_success_rate,primary_hard_success_rate,sensitivity_hard_success_rate,primary_drop_pp,sensitivity_drop_pp,primary_monotonic,sensitivity_monotonic,primary_failure_auc,sensitivity_failure_auc
aggregate,ALL_MODELS,9,-0.007415325756194564,-0.004907715453339995,0.002507610302854569,0,0,-0.5988023952095856,-0.5988023952095856,not_support,not_support,False,,,,,,,,,,,,
model,claude-fable-5,0,,,,,,,,,,,0.9520958083832335,0.9520958083832335,0.9819277108433735,0.9819277108433735,0.9401197604790419,0.9401197604790419,1.19760479041916,1.19760479041916,False,False,0.5468237399343872,0.5468237399343872
model,claude-opus-4-5,0,,,,,,,,,,,0.7604790419161677,0.7604790419161677,0.7831325301204819,0.7831325301204819,0.7544910179640718,0.7544910179640718,0.5988023952095856,0.5988023952095856,False,False,0.5171944388654571,0.5171944388654571
model,claude-opus-4-6,0,,,,,,,,,,,0.7664670658682635,0.7664670658682635,0.7951807228915663,0.7951807228915663,0.7425149700598802,0.7425149700598802,2.395209580838331,2.395209580838331,False,False,0.5250538793103449,0.5250538793103449
model,claude-opus-4-7,0,,,,,,,,,,,0.8203592814371258,0.8203592814371258,0.8433734939759037,0.8433734939759037,0.7844311377245509,0.7844311377245509,3.592814371257491,3.592814371257491,False,False,0.5422394501278773,0.5422394501278773
model,claude-opus-4-8,0,,,,,,,,,,,0.8263473053892215,0.8263473053892215,0.8554216867469879,0.8554216867469879,0.8323353293413174,0.8323353293413174,-0.5988023952095856,-0.5988023952095856,False,False,0.518621644715519,0.518621644715519
model,claude-sonnet-4-5,0,,,,,,,,,,,0.7125748502994012,0.7125748502994012,0.7590361445783133,0.7590361445783133,0.7544910179640718,0.7544910179640718,-4.191616766467066,-4.191616766467066,False,False,0.48904072379280805,0.48904072379280805
model,claude-sonnet-4-6,0,,,,,,,,,,,0.7425149700598802,0.7425149700598802,0.7831325301204819,0.7831325301204819,0.7065868263473054,0.7065868263473054,3.59281437125748,3.59281437125748,False,False,0.5462764616935485,0.5462764616935485
model,DeepSeek-V3.2-Reasoner,3,,,,,,,,,,,0.7005988023952096,0.7048192771084337,0.7168674698795181,0.7212121212121212,0.7305389221556886,0.7349397590361446,-2.9940119760479056,-3.0120481927710885,False,False,0.4928593909827681,0.4935995337807966
model,DeepSeek-V4-Pro,0,,,,,,,,,,,0.7425149700598802,0.7425149700598802,0.7469879518072289,0.7469879518072289,0.7065868263473054,0.7065868263473054,3.59281437125748,3.59281437125748,False,False,0.5374051871788599,0.5374051871788599
model,Gemini-3-Flash,0,,,,,,,,,,,0.7065868263473054,0.7065868263473054,0.7771084337349398,0.7771084337349398,0.7544910179640718,0.7544910179640718,-4.79041916167664,-4.79041916167664,False,False,0.48257372654155495,0.48257372654155495
model,Gemini-3-Pro,0,,,,,,,,,,,0.7005988023952096,0.7005988023952096,0.7289156626506024,0.7289156626506024,0.688622754491018,0.688622754491018,1.19760479041916,1.19760479041916,False,False,0.5272205199360197,0.5272205199360197
model,Gemini-3.1-Pro,0,,,,,,,,,,,0.7604790419161677,0.7604790419161677,0.8072289156626506,0.8072289156626506,0.7425149700598802,0.7425149700598802,1.7964071856287456,1.7964071856287456,False,False,0.5258046301524563,0.5258046301524563
model,Gemini-3.5-Flash,0,,,,,,,,,,,0.7604790419161677,0.7604790419161677,0.8313253012048193,0.8313253012048193,0.7664670658682635,0.7664670658682635,-0.5988023952095856,-0.5988023952095856,False,False,0.5099165299279446,0.5099165299279446
model,GLM-4.7,0,,,,,,,,,,,0.718562874251497,0.718562874251497,0.7771084337349398,0.7771084337349398,0.7065868263473054,0.7065868263473054,1.19760479041916,1.19760479041916,False,False,0.5185613898506484,0.5185613898506484
model,GLM-5,0,,,,,,,,,,,0.7125748502994012,0.7125748502994012,0.7590361445783133,0.7590361445783133,0.7305389221556886,0.7305389221556886,-1.7964071856287456,-1.7964071856287456,False,False,0.4994878203683596,0.4994878203683596
model,GLM-5.1,0,,,,,,,,,,,0.7485029940119761,0.7485029940119761,0.7590361445783133,0.7590361445783133,0.7425149700598802,0.7425149700598802,0.5988023952095856,0.5988023952095856,False,False,0.508608,0.508608
model,GPT-5.2,0,,,,,,,,,,,0.7305389221556886,0.7305389221556886,0.7771084337349398,0.7771084337349398,0.7305389221556886,0.7305389221556886,0.0,0.0,False,False,0.5246458803909565,0.5246458803909565
model,GPT-5.2-Codex,0,,,,,,,,,,,0.7245508982035929,0.7245508982035929,0.7590361445783133,0.7590361445783133,0.7305389221556886,0.7305389221556886,-0.5988023952095745,-0.5988023952095745,False,False,0.5251556714040423,0.5251556714040423
model,GPT-5.4,0,,,,,,,,,,,0.7305389221556886,0.7305389221556886,0.7951807228915663,0.7951807228915663,0.7425149700598802,0.7425149700598802,-1.19760479041916,-1.19760479041916,False,False,0.5107338017174082,0.5107338017174082
model,GPT-5.5,0,,,,,,,,,,,0.7604790419161677,0.7604790419161677,0.8132530120481928,0.8132530120481928,0.7724550898203593,0.7724550898203593,-1.19760479041916,-1.19760479041916,False,False,0.5088927473661982,0.5088927473661982
model,Kimi-K2-Thinking,2,,,,,,,,,,,0.7005988023952096,0.7048192771084337,0.7108433734939759,0.7108433734939759,0.6646706586826348,0.6686746987951807,3.59281437125748,3.6144578313253017,False,False,0.5252233315817131,0.5266770611499847
model,Kimi-K2.5,1,,,,,,,,,,,0.6706586826347305,0.6706586826347305,0.7048192771084337,0.7090909090909091,0.688622754491018,0.688622754491018,-1.7964071856287456,-1.7964071856287456,False,False,0.5043697823494335,0.505251312828207
model,Kimi-K2.6,0,,,,,,,,,,,0.7245508982035929,0.7245508982035929,0.7831325301204819,0.7831325301204819,0.7305389221556886,0.7305389221556886,-0.5988023952095745,-0.5988023952095745,False,False,0.5018260116949189,0.5018260116949189
