scope,language_model,null_record_count,primary_spearman,sensitivity_spearman,spearman_delta,primary_monotonic_count,sensitivity_monotonic_count,primary_median_drop_pp,sensitivity_median_drop_pp,primary_conclusion,sensitivity_conclusion,conclusion_changed,primary_easy_success_rate,sensitivity_easy_success_rate,primary_medium_success_rate,sensitivity_medium_success_rate,primary_hard_success_rate,sensitivity_hard_success_rate,primary_drop_pp,sensitivity_drop_pp,primary_monotonic,sensitivity_monotonic,primary_failure_auc,sensitivity_failure_auc
model,Minimax-2.7,0,,,,,,,,,,,0.7425149700598802,0.7425149700598802,0.7771084337349398,0.7771084337349398,0.7485029940119761,0.7485029940119761,-0.5988023952095856,-0.5988023952095856,False,False,0.5042501517911354,0.5042501517911354
model,MiniMax-M2.1,0,,,,,,,,,,,0.6706586826347305,0.6706586826347305,0.7168674698795181,0.7168674698795181,0.6766467065868264,0.6766467065868264,-0.5988023952095856,-0.5988023952095856,False,False,0.5038107483601669,0.5038107483601669
model,MiniMax-M2.5,0,,,,,,,,,,,0.7065868263473054,0.7065868263473054,0.7349397590361446,0.7349397590361446,0.7365269461077845,0.7365269461077845,-2.9940119760479056,-2.9940119760479056,False,False,0.4942088435784521,0.4942088435784521
model,MiniMax-M3,0,,,,,,,,,,,0.7544910179640718,0.7544910179640718,0.7831325301204819,0.7831325301204819,0.7544910179640718,0.7544910179640718,0.0,0.0,False,False,0.522084923240749,0.522084923240749
model,Nemotron-3-Nano,3,,,,,,,,,,,0.32934131736526945,0.3313253012048193,0.3313253012048193,0.3353658536585366,0.3652694610778443,0.3652694610778443,-3.592814371257486,-3.3944159873025015,False,False,0.485744503101726,0.48677932048936245
model,Nemotron-3-Super,0,,,,,,,,,,,0.562874251497006,0.562874251497006,0.6506024096385542,0.6506024096385542,0.6467065868263473,0.6467065868263473,-8.383233532934131,-8.383233532934131,False,False,0.4674448217317487,0.4674448217317487
model,Qwen3-Coder-480B,0,,,,,,,,,,,0.5748502994011976,0.5748502994011976,0.6445783132530121,0.6445783132530121,0.6526946107784432,0.6526946107784432,-7.784431137724557,-7.784431137724557,False,False,0.475177304964539,0.475177304964539
model,Qwen3-Coder-Next,0,,,,,,,,,,,0.6467065868263473,0.6467065868263473,0.6927710843373494,0.6927710843373494,0.6586826347305389,0.6586826347305389,-1.19760479041916,-1.19760479041916,False,False,0.494722267177357,0.494722267177357
model,Qwen3.5-Flash,0,,,,,,,,,,,0.5988023952095808,0.5988023952095808,0.6385542168674698,0.6385542168674698,0.6227544910179641,0.6227544910179641,-2.395209580838331,-2.395209580838331,False,False,0.49106960950764006,0.49106960950764006
model,Qwen3.6-Plus,0,,,,,,,,,,,0.7365269461077845,0.7365269461077845,0.7530120481927711,0.7530120481927711,0.7365269461077845,0.7365269461077845,0.0,0.0,False,False,0.5047117574541884,0.5047117574541884
model,Trinity-Large-Thinking,0,,,,,,,,,,,0.5269461077844312,0.5269461077844312,0.6385542168674698,0.6385542168674698,0.5389221556886228,0.5389221556886228,-1.19760479041916,-1.19760479041916,False,False,0.5009210354720919,0.5009210354720919
