scope,language_model,metric,p2l_value,routellm_value,difference,difference_ci_low,difference_ci_high
aggregate,ALL_MODELS,failure_spearman,-0.007415325756194564,0.005112642486989214,-0.012527968243183779,,
aggregate,ALL_MODELS,failure_spearman_ci_low,-0.09669256194386326,-0.08410599351377263,,,
aggregate,ALL_MODELS,failure_spearman_ci_high,0.08341526275495084,0.09370822530092465,,,
aggregate,ALL_MODELS,monotonic_model_count,0,1,-1,,
aggregate,ALL_MODELS,median_easy_to_hard_drop_pp,-0.5988023952095856,0.5988023952095745,-1.19760479041916,,
paired_bootstrap,ALL_MODELS,p2l_spearman_minus_routellm_spearman,-0.007415325756194564,0.005112642486989214,-0.012527968243183779,-0.11262793163373308,0.08960607829542074
decile,P2L,failure_rate_decile_1,0.24705882352941175,,,,
decile,P2L,failure_rate_decile_2,0.34352941176470586,,,,
decile,P2L,failure_rate_decile_3,0.28764705882352937,,,,
decile,P2L,failure_rate_decile_4,0.3311764705882353,,,,
decile,P2L,failure_rate_decile_5,0.17941176470588235,,,,
decile,P2L,failure_rate_decile_6,0.19294117647058823,,,,
decile,P2L,failure_rate_decile_7,0.29882352941176465,,,,
decile,P2L,failure_rate_decile_8,0.24588235294117644,,,,
decile,P2L,failure_rate_decile_9,0.3035294117647059,,,,
decile,P2L,failure_rate_decile_10,0.3435294117647059,,,,
decile,RouteLLM,failure_rate_decile_1,,0.24823529411764705,,,
decile,RouteLLM,failure_rate_decile_2,,0.3341176470588236,,,
decile,RouteLLM,failure_rate_decile_3,,0.3494117647058823,,,
decile,RouteLLM,failure_rate_decile_4,,0.29470588235294115,,,
decile,RouteLLM,failure_rate_decile_5,,0.27999999999999997,,,
decile,RouteLLM,failure_rate_decile_6,,0.16176470588235292,,,
decile,RouteLLM,failure_rate_decile_7,,0.18999999999999997,,,
decile,RouteLLM,failure_rate_decile_8,,0.2923529411764706,,,
decile,RouteLLM,failure_rate_decile_9,,0.3423529411764706,,,
decile,RouteLLM,failure_rate_decile_10,,0.28058823529411764,,,
model,claude-fable-5,failure_roc_auc,0.5468237399343872,0.5855452828312955,-0.03872154289690832,,
model,claude-opus-4-5,failure_roc_auc,0.5171944388654571,0.49969873468567994,0.017495704179777194,,
model,claude-opus-4-6,failure_roc_auc,0.5250538793103449,0.4814116379310344,0.04364224137931044,,
model,claude-opus-4-7,failure_roc_auc,0.5422394501278773,0.5083653026427963,0.033874147485080996,,
model,claude-opus-4-8,failure_roc_auc,0.518621644715519,0.5169863578773681,0.00163528683815084,,
model,claude-sonnet-4-5,failure_roc_auc,0.48904072379280805,0.4793246829227522,0.009716040870055842,,
model,claude-sonnet-4-6,failure_roc_auc,0.5462764616935485,0.5055863575268816,0.04069010416666685,,
model,DeepSeek-V3.2-Reasoner,failure_roc_auc,0.4928593909827681,0.4599693130852152,0.03289007789755288,,
model,DeepSeek-V4-Pro,failure_roc_auc,0.5374051871788599,0.4750224288394095,0.062382758339450395,,
model,Gemini-3-Flash,failure_roc_auc,0.48257372654155495,0.46530577779654225,0.017267948745012696,,
model,Gemini-3-Pro,failure_roc_auc,0.5272205199360197,0.4558593975833959,0.07136112235262382,,
model,Gemini-3.1-Pro,failure_roc_auc,0.5258046301524563,0.5012987012987014,0.02450592885375491,,
model,Gemini-3.5-Flash,failure_roc_auc,0.5099165299279446,0.4790849206915412,0.03083160923640338,,
model,GLM-4.7,failure_roc_auc,0.5185613898506484,0.48345659789801476,0.03510479195263361,,
model,GLM-5,failure_roc_auc,0.4994878203683596,0.4796664686238758,0.019821351744483795,,
model,GLM-5.1,failure_roc_auc,0.508608,0.48552533333333336,0.023082666666666585,,
model,GPT-5.2,failure_roc_auc,0.5246458803909565,0.4800827510502206,0.04456312934073592,,
model,GPT-5.2-Codex,failure_roc_auc,0.5251556714040423,0.4776060737706614,0.0475495976333809,,
model,GPT-5.4,failure_roc_auc,0.5107338017174082,0.5251322751322751,-0.014398473414866886,,
model,GPT-5.5,failure_roc_auc,0.5088927473661982,0.5201201342124405,-0.01122738684624236,,
model,Kimi-K2-Thinking,failure_roc_auc,0.5252233315817131,0.5038285414007957,0.02139479018091739,,
model,Kimi-K2.5,failure_roc_auc,0.5043697823494335,0.4780113297555158,0.026358452593917725,,
model,Kimi-K2.6,failure_roc_auc,0.5018260116949189,0.4855502311540816,0.016275780540837337,,
model,Minimax-2.7,failure_roc_auc,0.5042501517911354,0.46268106514008156,0.041569086651053855,,
model,MiniMax-M2.1,failure_roc_auc,0.5038107483601669,0.4904964221824687,0.013314326177698232,,
model,MiniMax-M2.5,failure_roc_auc,0.4942088435784521,0.49956767408658576,-0.005358830508133683,,
model,MiniMax-M3,failure_roc_auc,0.522084923240749,0.4869331795190346,0.03515174372171437,,
model,Nemotron-3-Nano,failure_roc_auc,0.485744503101726,0.522529728576761,-0.036785225475035044,,
model,Nemotron-3-Super,failure_roc_auc,0.4674448217317487,0.4838879456706281,-0.016443123938879367,,
model,Qwen3-Coder-480B,failure_roc_auc,0.475177304964539,0.4879807692307693,-0.012803464266230247,,
model,Qwen3-Coder-Next,failure_roc_auc,0.494722267177357,0.47260434086781394,0.022117926309543068,,
model,Qwen3.5-Flash,failure_roc_auc,0.49106960950764006,0.5025297113752122,-0.011460101867572126,,
model,Qwen3.6-Plus,failure_roc_auc,0.5047117574541884,0.4774232641718381,0.02728849328235028,,
model,Trinity-Large-Thinking,failure_roc_auc,0.5009210354720919,0.49475091288471573,0.006170122587376148,,
