language_model,question_count,valid_result_count,resolved_null_count,easy_success_rate,medium_success_rate,hard_success_rate,easy_to_hard_drop_pp,monotonic_easy_ge_medium_ge_hard,score_success_spearman,score_failure_roc_auc,analysis_definition,representative_model
claude-fable-5,500,500,0,0.9640718562874252,0.9698795180722891,0.9401197604790419,2.395209580838331,False,-0.05944221139535275,0.5855452828312955,null_as_not_success,False
claude-opus-4-5,500,500,0,0.7604790419161677,0.8012048192771084,0.7365269461077845,2.39520958083832,False,0.0004418378713535904,0.49969873468567994,null_as_not_success,False
claude-opus-4-6,500,500,0,0.7485029940119761,0.8192771084337349,0.7365269461077845,1.19760479041916,False,0.02718048596298886,0.4814116379310344,null_as_not_success,False
claude-opus-4-7,500,500,0,0.8263473053892215,0.8253012048192772,0.7964071856287425,2.9940119760479056,True,-0.011228639532980303,0.5083653026427963,null_as_not_success,False
claude-opus-4-8,500,500,0,0.8502994011976048,0.8554216867469879,0.8083832335329342,4.191616766467066,False,-0.021680599054823987,0.5169863578773681,null_as_not_success,True
claude-sonnet-4-5,500,500,0,0.7305389221556886,0.7831325301204819,0.7125748502994012,1.7964071856287456,False,0.031336859892084123,0.4793246829227522,null_as_not_success,False
claude-sonnet-4-6,500,500,0,0.7425149700598802,0.8012048192771084,0.688622754491018,5.389221556886225,False,-0.008445525336580231,0.5055863575268816,null_as_not_success,False
DeepSeek-V3.2-Reasoner,500,500,3,0.6706586826347305,0.7891566265060241,0.688622754491018,-1.7964071856287456,False,0.06253169707187493,0.4599693130852152,null_as_not_success,False
DeepSeek-V4-Pro,500,500,0,0.7065868263473054,0.7771084337349398,0.7125748502994012,-0.5988023952095745,False,0.03832345311934921,0.4750224288394095,null_as_not_success,True
Gemini-3-Flash,500,500,0,0.7005988023952096,0.8012048192771084,0.7365269461077845,-3.592814371257491,False,0.05231604676446202,0.46530577779654225,null_as_not_success,False
