instance_id,repo,official_difficulty,problem_statement_hash,routellm_raw_score,routellm_rank,routellm_percentile,routellm_tertile,model_result_count,valid_result_count,resolved_null_count,success_count,failure_count,empirical_success_rate,empirical_failure_rate,analysis_definition
astropy__astropy-12907,astropy/astropy,15 min - 1 hour,c01334ec1b21a089c650cf2e7b96ab974469076bf1260d23885799e1f0a7551f,0.20955243706703186,282,0.56312625250501,Medium,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
astropy__astropy-13033,astropy/astropy,15 min - 1 hour,a295c83e68ff62290947b0796b75659b94621b7f2340d6f0055512d04be3f1d1,0.17477503418922424,174,0.3466933867735471,Medium,34,34,0,2,32,0.058823529411764705,0.9411764705882353,null_as_not_success
astropy__astropy-13236,astropy/astropy,15 min - 1 hour,1f01b57c4e17057a2427b8ed897618f91782d22e98804b706826ba936a3d5ec4,0.07703739404678345,2,0.002004008016032064,Easy,34,34,0,4,30,0.11764705882352941,0.8823529411764706,null_as_not_success
astropy__astropy-13398,astropy/astropy,1-4 hours,c26c8dc258dc5cb9dd34f30bdbaaed3f19a8ada137e0f19d81d7f57dc5f11bba,0.09149742126464844,13,0.02404809619238477,Easy,34,34,0,2,32,0.058823529411764705,0.9411764705882353,null_as_not_success
astropy__astropy-13453,astropy/astropy,15 min - 1 hour,be929904c3062b54da2fa3ad7de338bd7f1f41a5aa48e64bec41f244d6e17c5a,0.1415623128414154,92,0.18236472945891782,Easy,34,34,0,34,0,1.0,0.0,null_as_not_success
astropy__astropy-13579,astropy/astropy,1-4 hours,70a48b6e4c77b5abc12b1e750bbb70110b7215d19c9ea3550f2b7261be84021d,0.17352229356765747,170,0.33867735470941884,Medium,34,34,0,32,2,0.9411764705882353,0.058823529411764705,null_as_not_success
astropy__astropy-13977,astropy/astropy,15 min - 1 hour,53b72f8a5aed23f5d11650d7d4ae0e36c820cfade3c8ebcc7b718055a80d1cb2,0.1452585756778717,105,0.20841683366733466,Easy,34,34,0,4,30,0.11764705882352941,0.8823529411764706,null_as_not_success
astropy__astropy-14096,astropy/astropy,15 min - 1 hour,938971021e89cd882f6ea33d61202fe7aa0091d7be4748b100ddc7e164db90cd,0.13784417510032654,84,0.16633266533066132,Easy,34,34,0,28,6,0.8235294117647058,0.17647058823529413,null_as_not_success
astropy__astropy-14182,astropy/astropy,15 min - 1 hour,2f743a72613ab0e8e063ff7b7f0a233015ad12ba14992625d9f84b315fa885fd,0.11039138585329056,32,0.06212424849699399,Easy,34,34,0,14,20,0.4117647058823529,0.5882352941176471,null_as_not_success
astropy__astropy-14309,astropy/astropy,<15 min fix,27b74ed7081579a5f310188d6ed6ac4da1d785c492b00052d605b7ba04d036b9,0.18716594576835632,213,0.4248496993987976,Medium,34,34,0,34,0,1.0,0.0,null_as_not_success
astropy__astropy-14365,astropy/astropy,15 min - 1 hour,615252d5c44819451977588671ce903d3a21c41a8bf011738e2aee39218d56c6,0.2210589498281479,315,0.6292585170340681,Medium,34,34,0,9,25,0.2647058823529412,0.7352941176470589,null_as_not_success
astropy__astropy-14369,astropy/astropy,1-4 hours,005d3d61c2ffbfa601f53125a9fb5271a1a87979977b857204d9f3cf5190fba9,0.31863933801651,471,0.9418837675350702,Hard,34,34,0,9,25,0.2647058823529412,0.7352941176470589,null_as_not_success
astropy__astropy-14508,astropy/astropy,15 min - 1 hour,d08eb8c70acd4f003f7f477092385046092d36ff4e4155594b286795e7f9cd9f,0.23507842421531677,356,0.7114228456913828,Hard,34,33,1,31,3,0.9117647058823529,0.08823529411764706,null_as_not_success
astropy__astropy-14539,astropy/astropy,15 min - 1 hour,deeb8ddb329b19eb6de7602db7ffbfb94a0887bedebd68ce49594609b6f4cf1a,0.2759762704372406,435,0.8697394789579158,Hard,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
astropy__astropy-14598,astropy/astropy,15 min - 1 hour,5edf1315e9ce360f72c2d3b23f08cdb974a758b64b13a6724236ca5d54beb9a9,0.17599189281463623,176,0.35070140280561124,Medium,34,34,0,2,32,0.058823529411764705,0.9411764705882353,null_as_not_success
astropy__astropy-14995,astropy/astropy,<15 min fix,2eb1c507dd3ad67acc74872966e4bb5e14d571e20e67f246fc454ed9461f5745,0.22533729672431946,324,0.6472945891783567,Medium,34,33,1,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
astropy__astropy-7166,astropy/astropy,<15 min fix,70c79d6da0284ce81f9e951dbab5c77d94bf8a27cd156f54169b424d75d11e43,0.22162844240665436,319,0.6372745490981964,Medium,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
astropy__astropy-7336,astropy/astropy,<15 min fix,1c51cc8817f7b2f1feb043bdd2a54fcc4f89150dad82c60dbd43f68d1dcdf90d,0.17005617916584015,159,0.3166332665330661,Easy,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
astropy__astropy-7606,astropy/astropy,15 min - 1 hour,d61965d0866c6a856d68dc4229f873e783399415a60d2a906d7847b777623ddd,0.2564201056957245,408,0.8156312625250501,Hard,34,34,0,0,34,0.0,1.0,null_as_not_success
astropy__astropy-7671,astropy/astropy,15 min - 1 hour,90a901a7b3d510c5fe9317b76fc9f83e883b577de167936d9e76ccbd69677f70,0.18130235373973846,197,0.3927855711422846,Medium,34,34,0,32,2,0.9411764705882353,0.058823529411764705,null_as_not_success
astropy__astropy-8707,astropy/astropy,15 min - 1 hour,f7420a19ba5b0c807396a84da376d8303e69ff66d0216c332adf099da589a714,0.159704327583313,138,0.2745490981963928,Easy,34,34,0,1,33,0.029411764705882353,0.9705882352941176,null_as_not_success
astropy__astropy-8872,astropy/astropy,15 min - 1 hour,495ed57c2183a49ff489deab1cf1f0a4fafe7e6fad6d6af79a407426de354746,0.20563200116157532,271,0.5410821643286573,Medium,34,34,0,1,33,0.029411764705882353,0.9705882352941176,null_as_not_success
django__django-10097,django/django,<15 min fix,2288319e7e72693551b8454b5c63f165f23dfb32bc6579ad03602d3cd311bdaa,0.147594153881073,112,0.22244488977955912,Easy,34,34,0,6,28,0.17647058823529413,0.8235294117647058,null_as_not_success
django__django-10554,django/django,1-4 hours,2f72fa6137f1d53983cff629a05e06c42a2ad477ea4557746c4688cbd6aeb724,0.19778327643871307,252,0.503006012024048,Medium,34,34,0,3,31,0.08823529411764706,0.9117647058823529,null_as_not_success
django__django-10880,django/django,<15 min fix,d554ba8ef84e2e4dc22c291d413e4cb58070d5d730dae3aca383a4cdb77c20b2,0.24282018840312958,373,0.7454909819639278,Hard,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
django__django-10914,django/django,<15 min fix,ba101c6d80094fe56bc64d74dcb7efe033a6e0d43dd77e8f00e65806fdbcdb8b,0.16494637727737427,150,0.2985971943887776,Easy,34,34,0,34,0,1.0,0.0,null_as_not_success
django__django-10973,django/django,15 min - 1 hour,bde1c4529fef5d030d1bd73a02e45bdbf9535a3c351aa9a43dba5c8249800271,0.12783119082450867,57,0.11222444889779559,Easy,34,34,0,27,7,0.7941176470588235,0.20588235294117646,null_as_not_success
django__django-10999,django/django,<15 min fix,efbac10cda6c1ef780205a8d9fc176b5489d1da8f76d9cbd366ef303052fd8d3,0.2691584825515747,425,0.8496993987975952,Hard,34,34,0,0,34,0.0,1.0,null_as_not_success
django__django-11066,django/django,<15 min fix,2c4cbca71895396f6bac73ad9454105f56828f542278e2e927483f6cac599db8,0.19227994978427887,237,0.4729458917835671,Medium,34,34,0,34,0,1.0,0.0,null_as_not_success
django__django-11087,django/django,15 min - 1 hour,9bd93972a91db1ad0e44e65720dd0f36f000de6264e770ffdaaeb06996a338f3,0.12805330753326416,60,0.11823647294589178,Easy,34,34,0,5,29,0.14705882352941177,0.8529411764705882,null_as_not_success
django__django-11095,django/django,15 min - 1 hour,0564572e65282f6920d43eaaa77ae7b103eec95b435aa1ba183d7daa32b9e83d,0.12339534610509872,49,0.09619238476953908,Easy,34,34,0,33,1,0.9705882352941176,0.029411764705882353,null_as_not_success
django__django-11099,django/django,<15 min fix,b0526bc6d9268fe373bf624621c8d5f560fc6b0ffae7e64b460d84f6726f3ed5,0.2749221920967102,433,0.8657314629258517,Hard,34,34,0,34,0,1.0,0.0,null_as_not_success
django__django-11119,django/django,<15 min fix,264fad964e8d5a49cd04509eb503175aed31535e29c9262cb9eee4b251192728,0.17120131850242615,165,0.3286573146292585,Easy,34,34,0,34,0,1.0,0.0,null_as_not_success
django__django-11133,django/django,<15 min fix,a7f427b7eb3f746b6985030b467a99099e6e3453319297a41e35effa7c32b8ed,0.11420851200819016,37,0.07214428857715431,Easy,34,34,0,34,0,1.0,0.0,null_as_not_success
django__django-11138,django/django,1-4 hours,b33c129178156fdb6d35f4d406ac6090bc6fbb7b220893ec068c0d76d7bca1ea,0.13274672627449036,68,0.1342685370741483,Easy,34,34,0,23,11,0.6764705882352942,0.3235294117647059,null_as_not_success
django__django-11141,django/django,15 min - 1 hour,f7a89b6c259b982bea8f5247ea54ad080dd4d3b5a7a559662b13928218ef6d94,0.2279762625694275,338,0.6753507014028056,Hard,34,34,0,6,28,0.17647058823529413,0.8235294117647058,null_as_not_success
django__django-11149,django/django,15 min - 1 hour,06f935b0cc647735e6955439f0cdd900198152c69bf75dc8f9af4673d0bc3f2b,0.15681633353233337,132,0.2625250501002004,Easy,34,34,0,21,13,0.6176470588235294,0.38235294117647056,null_as_not_success
django__django-11163,django/django,<15 min fix,8dbd8cae38c3a82b681a79bdfe8ffaa78aa6f1fad9744a1ca197f90265e5c80b,0.29761141538619995,453,0.905811623246493,Hard,34,34,0,34,0,1.0,0.0,null_as_not_success
